Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
RMIT Bld 80 - 445 Swanston Street,36,26,17,14,9,11,37,86,201,224,273,313,421,398,393,391,426,402,347,323,246,189,145,102
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,32,22,14,12,11,18,39,80,169,188,215,246,325,300,288,300,304,331,310,250,193,179,127,91
380 Elizabeth St,162,109,72,58,46,91,240,228,352,413,522,625,814,873,909,990,991,1144,1152,1038,904,799,644,414
La Trobe St (North),36,29,22,17,12,16,44,38,65,99,198,205,237,254,148,136,132,155,167,151,135,122,109,84
231 Bourke St,71,46,32,26,13,16,50,105,158,201,248,320,457,476,415,408,410,448,405,383,364,310,299,223
Royal Pde - Grattan St,8,6,4,3,2,9,43,114,222,176,157,159,177,181,150,157,170,173,99,61,45,31,20,14
Swanston St - City Square,61,37,21,13,9,17,49,89,188,182,215,277,365,387,402,400,426,545,499,439,444,420,384,238
State Library - New,181,223,255,259,243,276,321,364,417,454,490,539,601,621,616,646,685,719,700,621,600,568,443,312
Flinders Ln - Degraves St (South),15,9,7,5,3,9,41,127,263,310,329,378,505,511,446,433,420,437,346,295,227,134,67,45
Flinders Ln - Degraves St (North),0,0,0,0,0,3,22,72,138,178,194,221,312,310,255,230,200,151,103,77,31,3,2,2
Flinders Ln - Degraves St (Crossing),2,1,1,2,4,5,17,81,162,155,163,187,231,238,191,169,162,160,93,59,33,13,7,6
Errol Street (East),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Westwood Place,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St - ACMI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bourke St - Spencer St (South),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spring St - Flinders St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macaulay Rd - Bellair St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harbour Esplanade - Pedestrian Path,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harbour Esplanade - Bike Path,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Total,3399,2191,1591,1330,1135,1967,4739,8311,14501,14289,16340,19992,26242,27142,25337,25793,26506,29774,27474,24223,20664,18661,16155,10622
