Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Faraday St-Lygon St (West),N/A,N/A,4,7,N/A,5,10,31,78,94,104,123,171,208,151,128,122,118,96,66,96,49,30,7
QVM-Franklin St (North),11,6,1,4,8,17,92,38,44,63,79,88,72,105,117,105,77,98,89,71,46,28,29,21
Elizabeth St-Lonsdale St (South),4,4,2,N/A,2,10,26,36,42,42,54,55,81,82,78,112,88,97,72,70,61,28,17,7
Lincoln-Swanston (W),14,2,1,1,2,4,10,11,32,20,66,41,37,39,35,79,56,73,59,39,20,13,12,21
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),7,5,6,7,1,6,18,41,72,67,72,101,138,159,92,159,115,137,141,115,90,68,37,17
Bourke St Bridge,9,8,N/A,5,11,25,99,141,231,127,70,96,137,133,149,136,170,216,136,59,32,43,32,19
Bourke St - Spencer St (North),7,8,6,2,4,7,26,50,78,78,62,70,78,95,95,103,143,180,101,54,30,33,21,10
RMIT Bld 80 - 445 Swanston Street,8,5,5,2,6,8,31,88,99,125,148,186,256,263,214,247,298,278,139,89,74,41,27,12
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,11,11,9,9,11,14,34,61,72,94,113,148,158,146,143,165,158,171,147,93,63,52,27,9
380 Elizabeth St,76,51,34,39,40,75,216,190,259,289,333,416,576,589,578,694,699,696,703,556,378,295,234,110
La Trobe St (North),30,17,3,3,10,11,52,40,32,117,265,319,310,273,90,89,82,137,126,84,79,47,52,34
231 Bourke St,13,19,12,4,2,13,94,138,119,211,256,225,229,372,386,285,144,138,114,70,71,34,42,22
Royal Pde - Grattan St,2,N/A,1,N/A,N/A,N/A,N/A,6,N/A,3,N/A,10,4,N/A,1,N/A,7,2,N/A,2,2,1,N/A,1
Swanston St - City Square,12,6,2,N/A,3,12,45,82,101,73,69,81,115,90,97,110,131,156,94,53,37,31,23,13
State Library - New,12,9,1,N/A,10,15,28,76,92,119,148,216,330,321,359,375,407,433,423,322,203,115,94,30
Flinders Ln - Degraves St (South),16,6,8,5,3,19,72,111,141,139,153,141,212,194,177,145,117,129,78,79,33,28,12,7
Flinders Ln - Degraves St (North),0,1,0,0,0,5,15,90,85,134,138,122,165,152,102,88,59,49,4,6,2,0,0,1
Flinders Ln - Degraves St (Crossing),2,3,0,1,0,6,8,40,31,45,43,38,64,57,28,12,15,14,7,11,7,2,0,0
Errol Street (East),1,N/A,2,1,N/A,3,15,42,71,118,139,182,257,269,210,257,289,305,321,221,85,52,20,4
Westwood Place,3,3,2,N/A,1,3,2,45,30,45,52,46,99,24,18,31,36,116,51,34,2,N/A,6,2
Flinders St - ACMI,3,12,3,28,3,23,40,59,63,40,50,47,60,53,61,56,67,86,61,61,50,13,16,12
Bourke St - Spencer St (South),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
